OBJECTID,Inventory__,y,y_1,x,x_1,x_2,F__of_Culverts,Bankfull,Blownout_DS_,County,Culvert_Height,Culvert_Length,Culvert_Material,Culvert_Roadway_Name,Headloss,Headwater_elevation,Invert_DS__RL_,Invert_DS__RR_,Invert_US__RL_,Invert_US__RR_,Lateral_Scour_DS,Constriction_Ratio,RL_Culvert_Slope,RR_Culvert_Slope,Scour_Pool_DS_,Tailwater_elevation,Culvert_Width,Total_Culvert_width,Vertical_Scour__M1_,Vertical_Scour__M2_,Vertical_Scour__RL_,Vertical_Scour__RR_
143,50-0064,N 43°39.581',43.65968333,W 091°37.765',91.62941667,-91.62941667,1,1.733333333,YES,Mo-er,9,115,CONCRETE,CR55,-0.03,14.01,X,16.24,X,15.95,NA,8.076923077,X,0.252173913,Yes,13.98,14,14,NA,NA,NA,NA
54,23-0260,N 43°30.908',43.51513333,W 092°01.936',92.03226667,-92.03226667,2,,YES,Fillmore,,64,CONCRETE,CR30,0.38,16.16,NA,,NA,,NA,NA,NA,NA,Yes,16.54,NA,NA,NA,NA,NA,NA
145,50-0061,N 43°40.168',43.66946667,W 091°37.762',91.62936667,-91.62936667,3,2.7,YES,Mo-er,7.5,70,CONCRETE,55,0.02,9.24,NA,,12.73,12.15,NA,15.55555556,NA,NA,Yes,9.26,14,42,NA,NA,NA,NA
165,50-0014,N 43°49.755',43.82925,W 091°43.793',91.72988333,-91.72988333,2,4.466666667,NO,Mo-er,9,82,CONCRETE,7,-0.09,14.78,16.6,16.7,15.4,16.17,NA,6.268656716,1.463414634,0.646341463,Yes,14.69,14,28,NA,NA,NA,NA
59,23-0144,N 43°35.519',43.59198333,W 092°06.424',92.10706667,-92.10706667,3,5.066666667,NO,Fillmore,7.8,47,CONCRETE,NA,1.75,14.37,15.33,15.35,14.73,14.6,NA,7.105263158,1.276595745,1.595744681,Yes,16.12,12,36,NA,NA,NA,NA
77,23-0013,N 43°44.294',43.73823333,W 091°53.400',91.89,-91.89,3,5.533333333,YES,Fillmore,,NA,CONCRETE,NA,0.08,13.67,14.1,13.47,13.45,13.81,NA,2.421686747,1.048387097,-0.548387097,Yes,13.75,4.466666667,13.4,NA,NA,NA,NA
163,50-0005,N 43°49.149',43.81915,W 091°36.028',91.60046667,-91.60046667,3,10.53333333,NO,Mo-er,9.5,75,CONCRETE,NA,0.13,14.91,16.7,16.67,16.16,16.56,NA,3.417721519,0.72,0.146666667,Yes,15.04,12,36,NA,NA,NA,NA
161,50-0007,N 43°48.725',43.81208333,W 091°37.783',91.62971667,-91.62971667,2,2,YES,Mo-er,6.5,64,CONCRETE,710th Ave,-0.02,10.75,13.12,13.22,12.79,12.85,NA,10,0.515625,0.578125,Yes,10.73,10,20,NA,NA,NA,NA
188,55-0045,N 43°52.040',43.86733333,W 091°33.506',91.55843333,-91.55843333,2,3.133333333,NO,Olmsted,4,54,CONCRETE,60th Ave,0.79,10.32,10.72,10.81,10.46,10.58,NA,5.106382979,0.481481481,0.425925926,Yes,11.11,8,16,NA,NA,NA,NA
75,23-0015,N 43°44.112',43.7352,W 091°52.806',91.8801,-91.8801,3,4.766666667,YES,Fillmore,7.2,63,CONCRETE,NA,0.17,10.27,11.6,13.1,11.35,13.48,NA,2.370629371,0.396825397,-0.603174603,Yes,10.44,3.766666667,11.3,NA,NA,NA,NA
